start	end	text
0	5000	Ok, a partir de ahora estamos grabando entonces.
5200	9140	Bueno, bienvenidos al curso de representación de conocimientos.
10800	15160	Vamos a comenzar el curso de hoy dándole la bienvenida a todos.
15640	16940	Es un grupo bastante ecléctico.
17240	19960	Esta presentación sirve un propósito bien concreto,
20160	27780	que generalmente en el día y en el mía hay una audiencia bien ecléctica.
27780	32600	Tenemos médicos, abogados, periodistas, ingenieros de distintas especialidades, etc.
33680	40120	Y entonces hay que encontrar como un denominador entre la parte técnica o demasiado técnica,
40540	43300	que para algunos es demasiado técnica y para otros quizás no,
44020	49060	con otros perfiles, digamos, que son con objetivos menos técnicos, digamos.
49180	53120	Entonces ahí encontrar el curso medio es siempre un desafío.
53120	57400	Y a mí me ayuda a saber más bien cómo es la composición del curso en ese sentido.
57780	61540	Así que gracias por el tiempo que dedicaron a la presentación.
62540	65140	Les estoy compartiendo el sílabus.
65240	66120	No sé si lo están viendo.
68180	69400	Sí, se visualiza.
70000	70920	Ok, perfecto.
71460	71780	Sí, Bruce.
72340	75620	Entonces vamos a explicar un poco qué vamos a hacer en este curso, ¿ok?
75620	82320	Como introducción a este curso cubre conceptos básicos de representación de conocimientos.
82460	88240	Y esta área de representación de conocimientos es la parte más central de cualquier sistema de inteligencia artificial.
88720	91820	Y en este curso vamos a explicar por qué eso es así.
91980	98560	Entonces es un curso que está al comienzo, que es bien de base a todo sistema de inteligencia artificial.
98560	99000	¿Ok?
100440	105600	Les permitirá este curso también entender cómo la representación de conocimientos se consolidó de los años 50.
105900	109280	No sé si tuvieron un curso introductorio, me parece, antes de este.
110540	115040	La inteligencia artificial surge como una subrama de las ciencias de computación en los años 50.
115040	119460	Y vivió un primer boom.
119960	121500	Fue un desarrollo paulatino, ¿no?
121500	123060	Entre los 50, 60, 70.
123180	127100	Pero empezó a haber un boom en su desarrollo en los años 80.
127220	129920	Llevó a un peak inicial en los años 90.
129920	136740	Lo mismo que estamos viviendo hoy, y probablemente es una de las razones por las cuales muchos de ustedes se interesan en este tema y quieren aprender más.
137520	139680	Esto es un déjà vu para mí.
140180	143740	O sea, yo ya lo viví, pero lo viví a finales de los 80 y comienzos de los 90.
144380	144640	¿Ok?
145500	156260	Y no sé si estaban conscientes de eso, pero lo que vivimos hoy, toda la efervescencia, la expectativa que hay respecto a la inteligencia artificial, ya lo vivimos.
156260	159880	Lo vivimos a finales de los 80 y 90 y tuvo un final no muy feliz.
160280	167720	Después vino un periodo que se llama La Larga Noche de la Inteligencia Artificial, que demoró más de 10 años, casi 15 años inclusive.
168580	173460	Vamos a entrar un poquito más en detalle cuando veamos el recuento histórico de lo que ha sido la representación de conocimientos.
173460	182360	Y vivió un segundo renacimiento, propiamente tal, a partir del año 2005 o 2010 aproximadamente.
182960	186840	Y vamos a explicar también a qué se vivió ese renacimiento.
186840	189140	Y vamos a explicar si ahora realmente es distinto.
189140	189620	¿Ok?
190200	203860	Porque durante la primera ola, digamos, de la inteligencia artificial en los años 80 y 90, digamos, hubo mucha inversión, hubo mucha expectativa, pero muchas de estas no se cumplieron.
203860	207400	Y eso conllevó a una larga noche de la inteligencia artificial.
207680	216780	Entonces estamos viviendo una segunda era, digamos, en ese sentido, que tiene características bien especiales que vamos a estudiar más adelante.
216960	217140	¿Ok?
218760	225900	Entonces, este curso es importante porque representación de conocimiento es el gran desafío de todo sistema de inteligencia artificial.
225900	229480	Y lo que pueda hacer o no pueda hacer, en gran parte va a depender de eso.
229680	229800	¿Ok?
231320	235180	Los objetivos son conocer qué es representación de conocimientos en inteligencia artificial.
235400	237060	Los diversos métodos de representación.
237200	238640	Vamos a ver que no hay uno, hay muchos.
239040	239300	¿Ok?
240400	247000	Entender por qué la representación de conocimientos es la piedra angular de todo sistema de inteligencia artificial, que es lo que les acabo de explicar.
247000	255780	Y también entender las limitaciones de los modelos de representación y los lenguajes de representación y los formalismos de representación de conocimientos.
256020	261800	Conocer cuáles siguen siendo hoy los obstáculos principales para hacer la realidad del sueño de la IEA.
262940	269260	Así como entender algunos de los desafíos y oportunidades que se presentan hoy en día y de cara al futuro.
269560	269700	¿Ok?
270660	273880	La metodología va a ser, bueno, ustedes, la mayoría son profesionales.
273880	279840	Muchos han tenido probablemente ya un primer acercamiento, sobre todo los informáticos, me imagino, entre ustedes han tenido un primer acercamiento.
279980	286440	Probablemente tuvieran su curso de pregada o algún curso introductorio, pero no de representación de conocimientos propiamente tal.
287220	296100	Por lo tanto, nuestra metodología va a ser clases teóricas para aquellos que muchas veces repasan algunos de los conocimientos que ya vieron, pero muchos no los han visto.
297100	299780	Y tenemos que hacerlo, la clase de hoy va a ser fundamentalmente eso.
300820	301640	Pero también práctica.
301640	307100	Acabamos a ver algunos módulos prácticos de representación de conocimientos con algunos formalismos.
309540	317100	El énfasis va a ser también la discusión en estilo de seminario durante la clase, así que me pueden interrumpir en cualquier minuto o hacer preguntas.
317860	322120	La idea es que ustedes participen también en el desarrollo de la clase.
322120	327360	Y mientras vamos introduciendo ciertos conceptos, vamos a ir haciendo quizzes en conjunto.
327460	338440	Estos no tienen nota, pero vamos a hacer bastantes de estos quizzes muy pequeños, muy cortos, para ir chequeando si vamos aprendiendo los conceptos o no.
338440	350340	La evaluación va a ser al final del curso, después de la tercera sesión, vamos a fijar una fecha, generalmente, no sé si en el caso de ustedes también es así,
350460	357140	pero generalmente ha habido una delegada o un delegado al curso con el cual se coordina esto, y con el coordinador en este caso, que es Patricio,
357140	366160	para ver cuándo podemos hacer un test escrito, de modo que ese va a ser el modo de evaluación de este curso.
366560	374960	Consistiría en un test escrito al final del curso, es decir, después de la tercera sesión, a acordar con ustedes en términos de la fecha y del horario.
377480	383120	Canvas, como les indiqué, en el IMED que les envío el fin de semana, les subí cuatro lecturas previas.
383120	391100	No era necesario que las leyeran para la clase de hoy, pero sería interesante que las pudieran leer en el transcurso de la semana que viene.
393120	401340	La primera y la segunda que aparecen aquí, que son estos dos artículos, son muy recientes, son de mi autoría junto con un coautor alemán,
402560	411440	y cubren la perspectiva más macro de lo que es inteligencia artificial y sobre todo la conexión,
411440	417860	y esto es muy importante, la conexión que tiene el renacimiento de la inteligencia artificial como disciplina, por un lado,
418380	421440	y el surgimiento de las plataformas digitales.
422800	433480	¿Ok? Hay una directa conexión y mucho de ese renacimiento de la inteligencia artificial se debe justamente al auge y el desarrollo a nivel global
433480	434940	que han tenido las plataformas digitales.
434940	439400	¿Alguien puede, alguien de aquí de ustedes, puede establecer esa conexión?
439660	446260	O sea, ¿cuál es la conexión entre el surgimiento de las plataformas digitales por un lado y el auge que ha tenido la inteligencia artificial por el otro?
451680	454020	¿El aumento de la capacidad de cómputo?
454020	459200	Samuel dice el aumento de la capacidad de cómputo. ¿Ok? ¿Alguna otra idea?
460760	461520	¿La cantidad de datos?
462820	463220	¿Perdón?
464060	467020	¿La cantidad de datos disponible para entrenar?
468380	469340	¿Ok? ¿Quién dijo eso?
470860	471880	Yo, Benjamín.
472520	476320	Benjamín, muy bien. O sea, el nexo es justamente eso, y lo vamos a ver en más detalle,
