start	end	text
0	2540	la tarea del portonazo que habíamos conversado.
2660	4940	A ver, Sergio, ¿estás ahí, cierto?
6800	7520	Sí, profesor.
8240	11000	Ok, bien. Entonces estamos compartiendo pantalla. ¿Lo ven todos?
13600	14740	¿Se ve? Sí.
14940	16240	Sí, se ve, profesor.
17500	21520	Bien. Yo la verdad, bueno, siempre pregunta de a dónde venimos.
21780	27760	Yo no vengo de la informática ni de este mundo, así que intenté hacer algo en fondo
27760	33700	para poder tratar de aprender un poco más y aplicar lo que nos había enseñado.
34560	34960	Claro.
35420	37760	No sé cómo estará, pero...
38500	44460	Está muy bien, Sergio. Hay algunas cosas, algunos detalles, pero gracias por el esfuerzo.
44580	49500	Entonces, acá está la figura del portonazo que creo que todos ustedes conocen,
49560	54260	a pesar de que hay algunos alumnos extranjeros, pero entiendo que ustedes les explicaron
54260	56280	en la clase anterior de qué se trataba esto, ¿no?
56280	65180	Y Sergio partió con definir algunas, hizo algunas definiciones antes de entrar propiamente tal
65180	66920	a la representación, ¿ok?
67420	71760	Y nos habla de ciertas propiedades, por ejemplo, nos dice que la ubicación es en la calle
71760	72780	al llegar a una casa.
74140	75840	Y introduce algunos objetos.
75940	79120	Los objetos generalmente son los referentes en el discurso, ¿ok?
79120	83440	Y él habla aquí de un automóvil, un delineado, una víctima.
83520	88020	En el fondo, Sergio, hay algunos más que podríamos...
88020	95560	Yo leí tu código y esto está bien, pero creo que podríamos haber introducido algunos más.
95640	100520	Y te lo voy a explicar mientras vamos viendo lo que nos entregaste, ¿ok?
100520	107640	Entonces, los roles que en el fondo son actores, también son referentes en el discurso.
107980	109640	O sea, serían objetos también, ¿cierto?
109640	114500	Tenemos al delincuente que inicia la acción del robo, la víctima que es conductor del vehículo
114500	123260	y el automóvil que es objeto, digamos, del robo propiamente tal, ¿ok?
124360	126720	Condiciones de entrada, nos puso acá víctima.
126840	128480	La víctima se encuentra dentro del automóvil.
128560	131080	El automóvil está detenido frente al portón de la casa.
131200	133960	El delincuente se acerca al automóvil, ¿ok?
133960	138620	Todo esto lo podríamos haber representado también, pero habría quedado muy largo, ¿no?
138740	141880	Entonces, está bien lo que hace Sergio acá, danos las condiciones de entrada.
141980	145500	En el mundo real, esto también lo tendríamos que tener representado en algún momento, ¿ok?
146940	151820	Y los resultados de la acción que se pretende aquí representar es
151820	155200	la víctima deja el automóvil, lo abandona.
156940	159660	Aquí podríamos incluso haber dicho, Sergio, entre medio,
159660	163380	la víctima deja el automóvil para abrir el portón,
163560	165260	a pesar de que generalmente es eléctrico, ¿no?
165260	170340	No necesita abandonarlo, pero habría sido una posibilidad también, ¿ok?
175140	176840	Entonces, la víctima deja el automóvil,
176940	179100	el delincuente obtiene el control del automóvil
179100	182240	y el delincuente huye con el automóvil.
182240	186820	Entonces, Sergio aquí aplicó una de las metodologías,
186920	190840	o sea, a partir de lo más genérico
190840	195180	y después ir detallando un poco más la representación
195180	200060	conforme nosotros vamos haciéndola más específica, ¿no?
200060	202180	Entonces, hay un nivel de subespecificación
202180	203660	hasta cierto punto de la representación,
203760	206820	lo cual no es nada errado,
207740	208940	de acuerdo a nuestra metodología,
208940	212600	que muchas cosas que no las podemos representar todavía
212600	214300	las dejamos subespecificadas, ¿ok?
216420	219940	Entonces, partiendo de esa situación inicial de la víctima
219940	222220	que se encuentra en su automóvil cerca de su casa
222220	223980	y llega un delincuente.
224100	225240	Entonces, la secuencia de acciones,
225380	230380	aquí está lo que Sergio nos codificó.
230480	231360	Entonces, Sergio, a ver,
232840	236340	andanos explicando paso por paso.
236340	239680	La primera primitiva que tú usaste
239680	240860	es una primitiva de acción.
241700	243560	Explícanos aquí qué estás representando.
246060	249240	Bueno, ahí busca representar que el delincuente
249240	253440	se acerca al automóvil a la víctima.
254280	257340	Ok, y el P-trans es una transferencia de...
258340	259320	¿Te acuerdas de eso?
259320	262700	De un objeto físico.
263560	265160	De un objeto físico, sí.
265300	267180	Transferencia física de un objeto, exactamente.
271040	273320	Ok, y aquí tú pusiste su...
274020	275640	¿Por qué partiste con el 2 y el 4?
275760	278760	Si son los primeros referentes que estás introduciendo
278760	282260	en la representación.
282260	286100	Ah, no, es un desorden nomás.
286640	287380	Ya, ok.
287640	290180	La ubicación tampoco la escribí al principio.
291360	292220	Sí, exacto.
292520	294480	Es porque seguiste este orden de acá, me parece, ¿no?
296420	296900	Sí.
298080	298380	Ok.
299180	299500	Bien.
300240	300600	Entonces...
300600	304000	¿Debiera, bueno, me imagino que por lógica
304000	305840	debería ir avanzando de números?
309420	313080	Sí, conforme los va introduciendo en el dominio de discurso,
313160	316080	en el discurso, digamos, generalmente se hace así.
316400	320760	Pero en la medida que seas consistente, digamos,
321700	323540	no habría problema, porque está identificado
323540	326200	con el subíndice, el superíndice, en este caso,
326200	330200	el objeto que estás introduciendo en el discurso.
330600	334340	Después, explícanos la fase, la acción 2, acá.
335300	337500	Esa sería como la amenaza, digamos,
337720	341800	el speak del delincuente hacia la víctima.
342000	342240	Ok.
342380	344000	Viendo que se haga el auto...
344000	346640	Fíjate que aquí podrías haber introducido
346640	349340	la amenaza como un objeto en el discurso también, ¿ok?
352400	354540	Y acá te habría quedado algo así como...
354540	357900	Aquí tendrías un referente adicional,
358100	359220	que en este caso es la amenaza,
359220	362680	y te quedaría aquí como delincuente con el superíndice 2,
363240	363720	speak,
365420	367200	víctima,
368440	370660	eso lo puedes dejar así, tal cual,
371180	373820	pero acá puedes introducir, fíjate, la amenaza,
373920	375320	porque tú en el punto 3,
376460	377500	¿qué estás modelando acá?
377680	378640	¿Qué estás representando?
378640	380060	El miedo.
382220	382620	Claro.
382960	386240	Solo que M-Trans no es específica para miedo,
386340	388880	sino que es una transferencia mental que puede ser cualquier cosa.
389020	392460	Puede ser miedo, puede ser alegría, puede ser cualquier cosa.
392600	392980	Entonces,
393680	399120	siendo que es una primitiva de una transferencia de un estado mental,
399120	402160	tú podrías haber aquí introducido
402160	409400	la amenaza como un referente,
410020	412400	y quien está haciendo esa amenaza,
412460	413940	en este caso no sería la víctima,
414080	416200	porque por eso tú pusiste víctima en los dos lados.
416300	416600	En el fondo,
416720	418200	quien está amenazando es el delincuente,
418280	419840	y por lo tanto el delincuente aquí,
420400	420980	M-Trans,
421700	422920	amenaza víctima.
422920	425140	No sé si me entiendes, Sergio.
425740	426280	Sí, sí, sí.
428340	428700	Ok,
428860	430340	tal como el ejemplo que veíamos en clases,
430480	432340	como el garzón entregado a la comanda,
432600	436560	al huésped que estaba en el restaurante,
436640	438300	aquí más o menos es una situación similar,
438420	442600	solo que está ocupando una primitiva de acción,
442680	444020	que en este caso es una transferencia mental,
444080	446100	que no la necesitamos en el ejemplo anterior.
447500	448880	Después, punto 4, está correcto.
448940	451420	¿Qué estás representando acá, Sergio?
451420	453680	Estaba tomando el arma del delincuente.
454880	455360	Perfecto.
456260	457380	Eso está muy bien.
457500	458280	¿Y después la siguiente?
461840	464080	Bueno, ahí ya es la amenaza, digamos,
464620	467340	del delincuente con el arma hacia la víctima.
467840	468080	Sí.
468880	469840	Ok, muy bien.
473860	474820	De hecho acá,
474820	484580	esta primitiva es súper, súper de alto nivel, digamos.
484700	488980	Propel está definida como una aplicación de fuerza física a un objeto.
489760	491520	Así es su definición, digamos,
492520	493220	en el mecanismo,
493320	495480	en el formalismo de representación de conocimiento.
495600	498980	Pero tú lo estás usando acá para significar que él está,
498980	500440	de alguna manera,
500540	501060	tomando el arma,
501160	501820	moviendo el arma
501820	504780	y con ello apuntando a la víctima.
504880	506920	Eso es lo que me estás representando acá, ¿correcto?
507360	507720	Sí.
510280	511880	Después, en el punto 6,
511960	512900	tú estás representando,
513240	514860	explícanos lo que estás representando acá.
515980	519160	Del delincuente sacando a la víctima del automóvil.
519160	519800	Sí.
522260	522780	Claro.
524200	524980	Eso se entiende.
525120	525980	¿Y después en la siguiente?
525980	531420	Ella, en el fondo,
531720	533360	es la representación de que ya salió.
535460	537340	Después el ingreso del 8,
537440	539860	ya el ingreso del delincuente al automóvil.
540360	540660	Sí.
543240	544540	No sé si van así,
545300	547600	como en esos pasos,
547600	549600	ni son las...
550440	553640	están correctas las primitivas.
