start	end	text
0	21720	Bien, hoy día vamos a entretenernos con varias cosas, algunas conceptuales y vamos a, en la segunda parte,
21720	31100	a entrar directo a ejercicios que tienen que ver con prácticamente todos los conceptos de los que hemos estado hablando.
32260	42720	Vamos a hablar de búsqueda parcial, el método de Monte Carlo, que entendemos por aprendizaje con refuerzo.
42720	55820	Bueno, ya derechamente metidos en el concepto de meteorística, los algoritmos basados en poblaciones y algoritmos adaptativos y aprendizaje.
56320	63040	Y de ahí ya nos saltamos a técnicas particulares como los genéticos, las abejas y las hormigas.
63620	67820	Son algoritmos que usamos para resolver problemas de optimización.
67820	82440	Bueno, quiero reiterar que si hay algún concepto o alguna palabra, algún término que les suene como que no saben de qué se trata,
82560	86260	o tienen cualquier confusión, por favor, interrúmpanme.
86260	97800	Yo llevo un montón de años usando términos que para mí son cotidianos, pero seguramente no para todo el mundo.
98860	101420	Así que, si me entusiasmo, me avisan.
102020	108740	Si hay algún concepto o alguna técnica, por ejemplo, estoy inventando, podría ser el método de Monte Carlo,
108900	111640	si ya lo vieron, me dicen y lo saltamos.
112160	114560	Si voy muy rápido, también me cuentan.
114560	125660	La idea es que, más que pasar el contenido punto a punto, prefiero que lleguemos a un 80%,
125660	128260	que yo creo que lo va a ser todo igual, pero bien entendido.
129120	130820	Que no les queden esos vacíos que...
130820	133920	¿Y qué habrá querido decir este viejito con tal cosa?
134880	137160	Que no tengan ningún miedo.
138800	140320	Habitualmente soy pacífico.
140320	143480	Bien.
145160	148840	Vamos a partir amenizando la tarde con un cuento, como siempre.
149440	150200	Siempre tengo un cuento.
153540	156720	Estos son como los comerciales del YouTube que a uno le gustan tanto.
156720	167580	Les conté que había un señor Nutt, Donald Nutt, quien nació en el año 1938, que es ese viejito de ahí.
168980	170900	Los que yo pongo siempre son más viejos que yo.
171020	172060	Es un poco...
172060	173960	Es para hacer el contraste.
173960	184880	El Nutt tiene el ejemérito todavía activo.
185340	187640	A su tierna edad todavía está activo.
190140	192400	Es profesor en la Universidad de Stanford.
192400	202500	Y hace, por la friolera de años, dijo, voy a escribir siete libros que hablen sobre la computación.
205160	210080	Algoritmos, matemáticas y ordenación y búsqueda.
210080	212240	Eran los tres primeros libros.
213700	220480	Fue edición más potente la de 1973, que son tres libracos así, aunque él prometió siete libros.
220960	223580	Dijo, el cuarto va a ser de compiladores.
226020	228440	Pero esa parte evolucionó.
230220	233880	Y dijo, cuando termine de escribir ya va a estar pasado de moda.
234040	235580	No voy a escribir de lenguaje.
236040	237640	Y decidió no escribir ni una cosa más.
237640	240140	Se quedó en esos tres libros.
240980	244780	Y con una confianza en sí mismo, digna de menor causa.
245980	253040	Él dijo, en este libro, el tercer tomo, están todos los algoritmos que uno puede necesitar para...
254260	256460	ordenar y buscar.
257800	264680	Si alguien descubre alguna vez un algoritmo que no encaje en la familia que yo he definido, me avisa.
265880	266620	Eso fue el 73.
267640	269320	Pero todavía no lo han encontrado.
270980	274900	También se tenía mucha confianza en la calidad de su libro.
275280	280520	Y dijo, si hay una persona que encuentre un error, por ejemplo, una coma.
280980	282200	Porque hay ciertas reglas.
282500	285540	Por ejemplo, Oxford tiene ciertas formas de poner coma.
285540	293040	Si hay un error de una coma, yo le pago dos dólares por error a la gente que lo descubre.
294540	303960	Gastón Gonek, que es un uruguayo que es un profesor en Waterloo, descubrió un error y tiene un cheque de Donald Duck de dos dólares en su oficina, en un cuadrito.
303960	309180	En sus ratos de ocio, él toca órgano.
310140	312060	Son esos hobbies medios extraños.
312380	313360	Él no toca guitarra.
313600	314640	Y es un órgano.
314640	324900	Bueno, este señor está asociado a un problema que les voy a presentar.
324900	327320	El mono es distractor.
327700	330480	Lo puse para que no estuviera tan vacía la slide nomás.
330820	333120	Pero es el problema de los matrimonios estables.
333120	337580	¿Han escuchado el regreso?
337800	339220	¿De matrimonio han escuchado?
343040	344540	Este es el problema.
346660	348380	También los conceptos.
348540	349920	El problema es cuando se juntan.
354720	358040	Supongamos que tenemos una lista de un conjunto.
358920	362800	No necesariamente hombres y mujeres, pero siempre se ilustra con hombres y mujeres.
363120	365300	Hay un número igual de hombres y de mujeres.
366120	375360	Y se le pide a cada uno de ellos que haga una lista ordenando a los caballeros, a las mononas, por orden de preferencia.
376480	379640	A las señoritas se les pide que hagan exactamente lo mismo.
380660	383320	Ordenar a los mononos por orden de preferencia.
384980	390780	La idea es construir un emparejamiento en base a las preferencias.
390780	402940	No, no todos van a salir con la primera elección porque pueden ser conflictivas.
402940	418820	La idea es que no existan, no exista una pareja tal que el señor prefiera a otra señorita
