start	end	text
0	15380	Buenas tardes, ¿puedes cerrar la puerta?
15380	31020	¿Puedo pedirle a Patricio que haga las otras tres en webcurso?
33020	37740	Buenas tardes a todos, ¿cómo están? Hola, ¿cómo están los online?
39420	41580	Esta clase híbrida son un poco complicadas.
42180	44160	¿Todo bien? ¿Richard, Oscar?
44160	45360	¿Todo bien, gracias?
45580	49060	Hola, ¿cómo están? ¿Hay más gente por ahí?
49800	55520	Bueno, yo soy Jorge Vázquez, soy profesor asistente de la Universidad de Adolfo Ibañez,
55980	61220	empecé en marzo este año, hago clases de aprendizaje reforzado,
62400	64960	que es un área de IA, no sé si la conocen.
66340	69020	Hago clases de Computer Vision, que es básicamente este curso,
69020	72960	que es Visión Artificial, pero en inglés lo llamamos Computer Vision.
74160	77240	Hago clases de Sistemas de IA,
78880	83620	y estoy haciendo clases en pregrado, en Ingeniería Aeroespacial, en Diseño Computacional.
85020	92120	Porque tengo un bagaje, un bagaje como bien diverso, llamémoslo.
92120	98540	En este curso, como es un curso, entre comillas, casi express,
99260	101780	vamos a hacer lo mejor posible para cuatro clases,
103200	106560	donde vamos a mirar cuatro puntos.
106560	110020	Después se los paso a ir a la pantalla.
110180	115160	Primer punto, aplicaciones generales de Visión Computacional.
118360	122060	Ya vimos Visión Computacional en inglés, Computer Vision, se ve,
122620	127380	va a ser la más corta, después les puedo explicar las diferencias que existen.
127380	134380	Luego, la segunda clase, vamos a ver algoritmos tradicionales.
142320	144680	Esa es la clase dos, la uno.
145080	150860	Y la tres, vamos a ver como Machine Learning Based Computer Vision,
150980	155300	o sea, Visión Artificial basada en Machine Learning.
155300	157000	Principalmente Deep Learning.
158000	165440	Y la cuarta, que es mi objetivo y algo un poquito nuevo de la clase anterior que hice,
165500	166580	el curso anterior que he hecho,
168160	175160	es hacer como más Machine Learning, ya más sofisticado quizás,
175880	179440	Deep Learning Based Computer Vision, y más proyectos.
181540	182220	¿Por qué?
182220	186200	Sí, porque mi idea para este curso, para que puedan aprender lo más posible,
187120	190960	es que hagamos unos grupitos de tres a cuatro personas,
191860	194180	yo les entregue data, les entregue un objetivo,
194620	197440	y con lo que aprendieron en el curso, más lo que ustedes van a buscar,
198120	202160	y con lo que ustedes ya saben, dentro de su magíster,
203540	205700	aporten a ese proyecto.
205700	209180	Entonces, ese proyecto después se puede convertir en su capstone,
209720	210980	se puede convertir en un paper,
211180	213740	el día de mañana se puede convertir en otro proyecto de ustedes,
214280	216120	o ustedes mismos pueden decirme,
216180	217500	¿sabes qué, profesor?
218240	220020	No nos entregue data, no nos entregue objetivos,
220100	221400	ya tenemos un proyecto en mi empresa,
222420	223840	armémonos para mi empresa.
225120	226340	Y hacemos un proyectito rápido.
226600	226680	¿Ok?
226920	230020	Entonces, es Computer Vision Express,
230520	231480	pero con proyectos.
231480	234000	Entonces, en el horario invisible,
234180	236160	vamos a estar trabajando en el proyecto vía correo,
236220	237740	y nos podemos juntar por los equipos,
238060	240500	porque si no, si yo le hago clase teoría,
241680	244520	si nos van a pasar las cuatro clases volando,
244660	245360	vamos a hacer una tarea,
245900	247140	van a quedar descolgados con la tarea,
247760	248820	yo igual tengo un ayudante,
248960	252200	pero creo que no va a ser tan beneficio para ustedes.
253140	256600	Entonces, este es el segundo curso que hago en el MIA,
257160	258820	o sea, el tercer curso, el cuarto curso que hago en el MIA,
258820	262480	y siento que siempre es bueno poner un proyectito chiquitito.
262960	263280	¿Por qué?
263340	267400	Porque yo ahora estoy liderando un laboratorio de IA,
268180	268800	en la UAE.
268940	270280	Entonces, para mí es mucho más fácil,
270380	272280	tengo mucho contacto con muchas empresas,
272620	273660	tengo muchos proyectitos.
274240	276320	Entonces, le asigno una tarea a un proyecto,
277620	279020	no le pongo el nombre a la empresa,
279120	280440	da lo mismo, le pongo la data,
280580	283240	y le pongo una tarea de Computer Vision por realizar.
284020	284200	¿Ok?
284960	286320	Esa es la idea que tengo.
286320	286680	¿Ok?
287560	287960	¿Ya?
288820	290540	Eso un poquito.
290740	295240	Ojalá, obviamente que enfocado en Deep Learning Based Computer Vision.
295620	299940	O sea, visión computacional o visión artificial basada en Deep Learning.
300820	301000	Ya.
301480	303440	Para enchufarme un poco con el contexto,
304900	306760	estoy con el gemelo,
307720	308700	me acabo de agarrar el gemelo,
308800	309820	si por eso no puedo caminar tanto.
311820	313220	¿Ustedes ya pasaron Deep Learning?
315280	316320	¿Pasaron Machine Learning?
316420	316520	Sí.
316520	320540	¿Qué cursos han pasado?
324540	324940	¿Agente?
326080	327080	¿Introducción a la IA?
327900	328940	¿O este es su primer curso?
330400	331240	¿En qué?
331560	332200	No sé, por ahí.
334580	334980	¿Ya?
336280	336680	¿Ya?
336680	339860	Ah, perfecto, ya.
340140	342160	Es que, por eso es que el magíster de IA,
342700	345460	yo a veces hago clase mitad diplomado, mitad magíster,
345920	347160	magíster de segundo año y magíster de segundo año.
347240	350140	Primero año estoy un poco perdido con los semestres.
350560	350620	¿Ya?
350620	354280	Ok, eso me contextualiza un poquito.
357700	358860	Me contextualiza un poquito.
358980	360160	Este ramo es un ramo,
361020	365760	si tú haces un magíster en IA,
365880	367840	es un ramo de cuarto semestre, más o menos.
368420	368900	Visión artificial.
369180	369300	¿Ya?
369300	372940	Pero no importa, lo vamos a hacer para ustedes.
374760	376920	Entonces, esa es la primera idea.
382300	383180	Todo va a tener.
385260	385400	Ya.
386040	388540	Pero, ¿conocen el concepto de Deep Learning?
388800	389040	Obviamente.
390640	391300	A ver, neuronales profundas.
392620	392700	Ya.
393360	395680	Les voy a hacer una pequeña introducción entonces de IA,
395680	398480	para ver si estamos todos hablando el mismo idioma.
398900	399080	¿Ok?
405360	408820	¿Alguna pregunta los de online?
410740	411940	Los que se vienen a su casa.
