idx,start_sec,end_sec,text
1,118.900,126.040,"¿Me escuchan? Ahora sí. ¿Me escucha bien a online? ¿Me confirma con un dedo? Sí, tal vez."
2,126.100,127.080,"Sí, se escucha bien."
3,127.360,129.040,"Sí, ahora sí."
4,129.820,135.040,Muchas gracias. Tenía detalles técnicos. Así es.
5,136.620,138.720,"Ya, ok. Perfecto, gracias."
6,142.620,144.540,"Ya, entonces empecemos."
7,145.120,149.440,"Como ya lo he comentado, nosotros hemos visto en la clase anterior,"
8,149.440,155.960,"Prácticamente son modelos que abordan imágenes y resaltan cosas de la imagen, por supuesto,"
9,156.140,163.440,donde sería pintar la silueta posiblemente o rellenar un colorido que representaría un objeto específico.
10,164.520,171.440,"Bien, entonces uno puede utilizar esa misma herramienta para distinguir, digamos, cosas en diferentes profundidades."
11,172.640,176.200,Entonces son problemas que se conocen como problemas de segmentación.
12,176.900,180.600,"Entonces, los problemas de segmentación son bastante buenos en cierto aspecto"
13,180.600,185.480,y sabemos que lo que hace es clasificar pixel de a qué objeto podría pertenecer
14,185.480,192.980,según sus conocimientos que han aprendido en el modelo aprendido en función de la base de datos.
15,193.320,196.900,"Entonces, nosotros vimos que hay modelos como UNED."
16,196.900,202.640,UNED justamente se aborda como uno de los principales modelos que ha abordado para efectos de resaltar objetos.
17,202.640,221.840,"En este caso, cosas celulares, por ejemplo. Y eso, digamos, se ha extrapolado con muchos problemas, prácticamente de salud o si no, agronomía a precisión o incluso la parte de vehículos autónomos. Entonces, ahí vimos esa versión y también vimos una versión mucho mejorada que se conoce como la ARENET."
18,221.840,246.900,"Bien, entonces ahí, digamos, logra detectar cosas más detalladas que tal vez elementos bastante finos. Bien, que UNED no lo logra percibir, pero el ARNET permite hacer esa o recuperar esa información. Y además tiene algo más adicionales que permite regular, digamos, reducir un poco la cantidad de operaciones y también lo que es el número de parámetros. Entonces, haciendo un boto en el modelo más liviano."
19,246.900,252.360,entonces todo este modelo que hemos visto simplemente como pintar cada uno de ellas
20,252.360,262.120,entonces hay ciertas limitaciones también entonces sobre que uno podría cambiar el enfoque y ese
21,262.120,267.860,enfoque lo podemos abordar en sentido de es si queremos resaltar una persona o detectar dónde
22,267.860,273.080,está la persona entonces yo podría utilizar una especie de una cajita y en donde podemos encerrar
23,273.080,278.700,ese objeto entonces simplemente estimamos los parámetros las coordenadas que está referenciado
24,278.700,286.020,en ella entonces ahí surge un modelo que se llama yo lo que son los iniciales donde tenemos
25,286.020,293.820,el yugo only look once y entonces ese modelo justamente trabaja en sentir un punto diferente
26,293.820,299.420,el enfoque de segmentación ya este caso pasar y más un problema es lo que es detección bien
27,299.420,308.920,queremos detectar si está presente algo dentro de una imagen y en este caso la borda en el aspecto
28,308.920,316.500,de justamente identificar cuáles serán esas coordenadas más que decidir qué pixel pertenece
29,316.500,325.040,a qué categoría está estableciendo entonces la parte de YOLO prácticamente podemos imaginarlo
30,325.040,329.220,"esta imagen, por decir, es un ejemplar, ¿bien? Donde tiene"
31,329.220,332.900,"varias cosas que queremos identificar, como qué objetos hay en ella"
32,332.900,336.640,"y también dónde están, ¿no? Por supuesto, ¿no? Entonces, por ejemplo,"
33,337.200,341.240,"si yo tengo aquí, quiero identificar vehículos. Hola, ¿qué tal? ¿Cómo estás?"
34,341.880,345.220,"¿Todo bien? Qué bueno. Entonces, si queremos"
35,345.220,348.880,"identificar vehículos, entonces tenemos aquí los vehículos como ejemplares,"
36,349.060,352.620,"incluyendo este micro, ¿bien? Entonces,"
37,352.620,373.880,"Eso es una parte del objetivo. Si queremos también agregar otras más que queremos identificar, por si queremos identificar semáforos, personas. Entonces, la idea, en vez de tener como modelo de segmentación que podemos tener diferentes capas, bien, las capas, una capa que se encargaría nada más de identificar vehículos, otra capa se identifica para personas."
38,373.880,382.860,"Ahora, simplemente nosotros queremos predecir cuál sería la cajita que podemos encerrar a estas personas que están acá, lo preferible."
39,383.140,390.520,"Bien, entonces yo puedo simplemente abordarlo sobre una lista de coordenadas en lugar de clasificar cada píxel."
40,390.760,395.820,"Entonces, eso es una de las cosas que aborda, digamos, este enfoque de YOLO."
41,396.200,400.180,"Bien, simplemente es identificar dónde está el objeto y determinar su ubicación."
42,400.180,405.480,"Entonces, si queremos identificar el objeto, prácticamente podemos ver como si fuese un problema de regresión."
43,405.900,411.820,"Entonces, si yo puedo identificar aquí que hay algo, lo puedo encerrar como especie de una cajita."
44,412.360,419.200,"Esa cajita, yo sé que hay algo y también quiero abordar la temática que sería qué cosa es."
45,419.460,423.700,"Entonces, por tanto, el modelo YOLO aborda prácticamente dos objetivos."
46,424.180,426.640,"Identificar, digamos, detectar y identificar."
47,426.640,440.940,"Bien, entonces ahí está como una mezcla de cosas como estimar las coordenadas, que sería como un problema de regresión, y también de cierta manera identificar qué cosas estamos detectando."
48,441.060,443.560,"Entonces ahí tendría algo como de clasificación, ¿no?"
49,444.140,452.660,"Entonces, por lo tanto es como una mezcla, bien, tenemos hasta dos objetivos, mezclamos estas dos para justamente estimar y también clasificar."
50,453.400,458.920,"Entonces, prácticamente en esencia, le decimos al modelo o enseñar al modelo, ¿ok?"
51,458.920,466.300,"Qué cosas necesitamos ver y también identificar, digamos, qué cosas sería lo que está identificando."
52,466.580,470.400,"Entonces, por tanto, lo que hace es como simular lo que hace una persona."
53,470.800,475.620,"Si quiero identificar una silla, por ejemplo, lo primero que voy a visualizar es dónde está la silla."
54,475.820,481.760,"Y bueno, ahí tenemos como el objetivo y en función de ella nosotros clasificamos si es silla o no."
55,484.290,501.350,"YOLO, antes de aparecer YOLO, que es esta nueva tecnología, anteriormente lo hacían de forma más manual, se encarga de lo que es procesamiento de imágenes, y procesamiento de imágenes está seleccionando esos filtros que logra detectarse,"
56,501.350,508.970,Entonces utilizamos un montón de filtros para absolutamente resaltar una cosa de interés.
57,509.190,515.730,Entonces eso nosotros lo hemos visto cuando ustedes abordaron redes neuronales convolucionales.
58,515.930,522.670,Porque redes convolucionales utilizan filtros o tratan de encontrar un filtro que logra detectar algo.
59,523.170,527.590,"Y esas detecciones de algo generalmente son como, digamos, la primera capa."
60,527.590,535.930,"Son rectas verticales, horizontales, diagonales, o simplemente son bordes que generalmente hacen esa tarea, los filtros."
61,536.370,541.830,Y esa composición de elementos simplemente me genera los resaltados de algunas cosas.
