dimension,segment,rows,not_applies_rate,not_applies_f1,not_applies_recall,accuracy
pilar,COE,49,0.3673469387755102,0.6938775510204082,0.9444444444444444,0.6938775510204082
pilar,Loyalty,810,0.519753086419753,0.805247225025227,0.9477434679334917,0.7617283950617284
pilar,OSS,254,0.6299212598425197,0.7063197026022305,0.59375,0.6889763779527559
pilar,OpenBanking,193,0.6839378238341969,0.8873720136518771,0.9848484848484849,0.8290155440414507
pilar,missing,24,1.0,1.0,1.0,1.0
Tcomponente,COE-Backend-EP,48,0.3541666666666667,0.6808510638297872,0.9411764705882353,0.6875
Tcomponente,Loyalty-CommunityTeam-Backend-EP,365,0.6027397260273972,0.8116504854368932,0.95,0.7342465753424657
Tcomponente,Loyalty-Shelby-Backend-EP,122,0.5573770491803278,0.8553459119496856,1.0,0.8114754098360656
Tcomponente,Loyalty-SuperDruperKit-Backend-EP,115,0.4260869565217391,0.875,1.0,0.8782608695652174
Tcomponente,Loyalty-TheLastOfPlus-Backend-EP,90,0.4777777777777778,0.8205128205128205,0.7441860465116279,0.8444444444444444
Tcomponente,Loyalty-TheLastOfPlus-Frontend-EP,21,0.2857142857142857,0.5,1.0,0.42857142857142855
Tcomponente,Loyalty-TheOffice-Frontend-EP,54,0.3888888888888889,0.8076923076923077,1.0,0.8148148148148148
Tcomponente,OSS-PanaRabbits-Backend-EP,44,0.8181818181818182,0.9,1.0,0.8181818181818182
Tcomponente,OSS-Shazam-Frontend-EP,181,0.5414364640883977,0.4925373134328358,0.336734693877551,0.6243093922651933
Tcomponente,OpenBanking-HubDeDatos-Backend-EP,185,0.6702702702702703,0.8808664259927798,0.9838709677419355,0.8216216216216217
Tcomponente,missing,24,1.0,1.0,1.0,1.0
