threshold,not_applies_recall,not_applies_precision,not_applies_f1,false_applies,false_not_applies,manual_reviews,total_cost_units
0.1,0.9973509933774835,0.577897160399079,0.7317784256559767,2,550,1303,2423.0
0.15,0.9430463576158941,0.5928393005828476,0.7280163599182005,43,489,1201,2609.0
0.2,0.9205298013245033,0.6261261261261262,0.7453083109919572,60,415,1110,2540.0
0.25,0.9112582781456954,0.6596356663470757,0.7652947719688543,67,355,1043,2423.0
0.3,0.8966887417218543,0.7066805845511482,0.7904261529480444,78,281,958,2300.0
0.35,0.8807947019867549,0.7430167597765364,0.806060606060606,90,230,895,2255.0
0.4,0.8410596026490066,0.7687651331719129,0.8032890575585073,120,191,826,2408.0
0.45,0.7562913907284768,0.7832647462277091,0.7695417789757413,184,158,729,2885.0
0.5,0.7072847682119205,0.7958271236959762,0.7489481065918654,221,137,671,3155.0
0.55,0.6317880794701987,0.8353765323992994,0.7194570135746606,278,94,571,3539.0
0.6,0.5642384105960265,0.8385826771653543,0.6745843230403801,329,82,508,3962.0
0.65,0.45827814569536424,0.8894601542416453,0.6048951048951049,409,43,389,4565.0
0.7,0.40927152317880794,0.9251497005988024,0.5674931129476584,446,25,334,4844.0
0.75,0.21456953642384105,0.8709677419354839,0.3443145589798087,593,24,186,6164.0
0.8,0.20662251655629138,0.8863636363636364,0.3351235230934479,599,20,176,6206.0
0.85,0.08609271523178808,0.9420289855072463,0.15776699029126215,690,4,69,6977.0
0.9,0.03576158940397351,1.0,0.06905370843989769,728,0,27,7307.0
