schema_version,metrics_scope,load_type,enabled_endpoint_count,configured_endpoint_target_count,configured_concurrency_total,configured_iterations_total,strictest_response_time_target_ms,total_requests,successful_requests,failed_requests,error_rate_percent,min_response_time_ms,mean_response_time_ms,max_response_time_ms,p50_response_time_ms,p75_response_time_ms,p90_response_time_ms,p95_response_time_ms,p99_response_time_ms,requests_per_second,assertions_total,assertions_successful,assertions_failed,assertions_all_passed,warning_count,recommendation_action
1,execution,sequence,1,1,80,10,3000,802,802,0,0.0,177,2136,8828,1595,1997,,7260,8322,23.58823529411765,2,1,1,False,1,review
1,execution,sequence,1,1,80,10,3000,802,802,0,0.0,465,1325,3030,1232,1496,,2404,2719,23.58823529411765,2,2,0,True,0,evolve
1,execution,sequence,1,1,80,10,3000,802,96,706,88.029925,169,13935,16168,15088,15138,,15375,15600,4.950617283950617,2,0,2,False,2,review
1,execution,sequence,1,1,5,5,15000,27,27,0,0.0,356,646,1501,412,665,,1480,1496,3.0,2,2,0,True,0,evolve
1,execution,sequence,1,1,5,5,15000,27,27,0,0.0,352,1593,3123,1495,1970,,2941,3081,1.4210526315789473,2,2,0,True,0,evolve
1,execution,sequence,7,7,180,40,3000,2801,2801,0,0.0,374,745,10510,732,805,,1465,2221,9.399328859060402,8,8,0,True,0,evolve
1,execution,sequence,7,7,180,40,3000,2801,2801,0,0.0,156,650,2736,514,729,,1313,1847,11.115079365079366,8,8,0,True,0,evolve
1,execution,sequence,3,3,15,15,3000,201,176,25,12.437811,376,791,7711,626,848,,1384,3617,4.276595744680851,5,3,2,False,2,review
1,execution,sequence,4,4,35,20,3000,201,201,0,0.0,365,670,1559,568,804,,1121,1466,5.025,5,5,0,True,0,evolve
1,execution,sequence,3,3,60,15,5000,601,601,0,0.0,258,1387,4451,895,2224,,3183,3505,5.008333333333334,4,4,0,True,0,evolve
1,execution,sequence,3,3,60,15,5000,601,601,0,0.0,313,1430,4478,973,2336,,3113,3695,5.008333333333334,4,4,0,True,0,evolve
1,execution,sequence,3,3,60,15,5000,601,601,0,0.0,346,546,1500,511,582,,891,1222,10.362068965517242,4,4,0,True,0,evolve
1,execution,sequence,4,4,35,20,3000,177,177,0,0.0,481,3106,16373,2475,3329,,6066,16079,1.5258620689655173,5,1,4,False,1,review
1,execution,sequence,4,4,35,20,3000,177,177,0,0.0,228,549,2104,411,665,,856,2027,6.555555555555555,5,5,0,True,0,evolve
1,execution,sequence,4,4,35,20,3000,177,177,0,0.0,349,626,2145,422,712,,1357,1734,6.321428571428571,5,5,0,True,0,evolve
1,execution,sequence,4,4,35,20,3000,177,175,2,1.129944,264,891,25047,414,457,,1369,21212,2.492957746478873,5,2,3,False,2,review
1,execution,sequence,1,1,20,5,5000,742,742,0,0.0,176,409,2942,395,414,,489,799,13.017543859649123,12,11,1,False,1,review
1,execution,sequence,1,1,20,5,5000,792,792,0,0.0,252,540,3813,435,504,,1225,1555,9.9,13,13,0,True,0,evolve
1,execution,sequence,13,13,390,76,3000,2970,2970,0,0.0,193,470,2740,389,433,,950,1697,13.378378378378379,14,14,0,True,0,evolve
1,execution,sequence,13,13,390,76,3000,2970,2970,0,0.0,336,500,2219,409,486,,1049,1486,12.323651452282158,14,14,0,True,0,evolve
1,execution,sequence,13,13,390,76,3000,2970,2970,0,0.0,245,464,3456,393,426,,884,1655,13.5,14,14,0,True,0,evolve
1,execution,sequence,8,8,325,54,5000,1991,1991,0,0.0,343,536,3432,412,535,,1122,2583,12.366459627329192,8,8,0,True,0,evolve
1,execution,sequence,7,7,285,47,5000,1991,1991,0,0.0,345,589,3479,484,648,,1182,1607,10.879781420765028,8,8,0,True,0,evolve
1,execution,sequence,7,7,285,47,5000,1991,1991,0,0.0,333,454,2184,394,429,,821,1330,14.02112676056338,8,8,0,True,0,evolve
1,execution,sequence,7,7,285,47,5000,2411,1991,420,17.420158,331,533,3516,458,572,,1036,1687,12.238578680203046,9,8,1,False,2,review
1,execution,sequence,1,1,5,5,15000,27,27,0,0.0,619,1284,3202,888,1150,,3163,3192,1.8,2,2,0,True,0,evolve
1,execution,sequence,1,1,5,5,15000,51,51,0,0.0,289,2450,8321,1153,3582,,7482,8222,1.6451612903225807,2,2,0,True,0,evolve
1,execution,sequence,2,2,10,10,15000,101,61,40,39.60396,219,4845,25270,962,2106,,25082,25105,0.8938053097345132,3,1,2,False,2,review
